Q.1 What age bracket are you in?,Q.2 What Faculty are you from?,Q.3 What year of study are you in?,Q.4 We are waiting for confirmation from the government – it is possible that more students will be allowed to return to campus at some point in April. How comfortable are you with a potential return to Campus? ,Q.5 Please tell us more about your answer to the previous question
Under 21,Faculty of Media and Communication,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","Being a first year, my entire first semester and second semester as of yet have been online. I have had no in-person university experience and am excited to come to uni as soon as is safely possible. "
Under 21,Faculty of Health and Social Sciences,2nd Year,"Very comfortable, I can’t wait to get back","I have had to work on site on placement, so I feel comfortable and confident in working around others despite covid"
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back","I currently live and work from a tiny studio flat and I have found it really challenging not being able to be around other students. Especially as my course is about innovation management and entrepreneurship, I feel there needs to be more opportunities for social interaction to bounce ideas off each other. "
Under 21,Faculty of Media and Communication,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",I am eager to socialise in person and most importantly use the equipment that we haven’t been able to access this year
21-24,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
30-39,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Not at all comfortable, I have serious concerns","I am clinically vulnerable and I would not like to return on campus before I received both of my vaccines. In April we have only 2 teaching week left, so it would be kind of pointless. Many students are all over the world and it would be an unreasonable expectation to ask them to fly in for 2 weeks. "
21-24,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns","I don't trust other students to follow rules/ gov guidance to keep everyone safe, therefore putting other at uni at risk"
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",Online learning is not for me
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.","At this moment every one is difficult as we have to follow the governement rules and regulation after given government permission student come to on compus in discipline Covid-19 percausion, Thank you
"
Under 21,Faculty of Health and Social Sciences,1st Year (including Foundation year),"Comfortable, as long as everyone respects physical distancing rules, etc.",I feel it is necessary for some students to be able to go back due to the nature of their course however feel they need to still respect the government guidelines to avoid an increase in cases within the uni 
25-29,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back","I’d like to continue with online lectures simply because it’s convenient. However, I am comfortable with going into campus. "
21-24,Faculty of Media and Communication,3rd Year or Final Year,"Somewhat comfortable, but I have some concerns","Frequent supervised testing is a must. I trust some of the student body, but others never stopped having parties, and some students will have had to travel from other areas. I think attending class virtually should continue to be an option for at least the next academic year."
Under 21,Faculty of Science and Technology,Placement Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",Excited to get back if safety measures are effectively in place 
21-24,The Business School/Faculty of Management,Post-Graduate (non-doctorate),"Comfortable, as long as everyone respects physical distancing rules, etc.",I am hesitant about the visa process and am worried about finding accommodation since it is part way through the semester. 
30-39,Faculty of Health and Social Sciences,2nd Year,"Comfortable, as long as everyone respects physical distancing rules, etc.",
25-29,Faculty of Science and Technology,Post-Graduate (non-doctorate),"Very comfortable, I can’t wait to get back",
25-29,Faculty of Media and Communication,Post-Graduate (non-doctorate),"Somewhat comfortable, but I have some concerns","I suggest even if the lecture take place on Campus, we keep broadcasting them in live for this semester and the next one to reassure all students. "
Under 21,Faculty of Science and Technology,1st Year (including Foundation year),"Very comfortable, I can’t wait to get back",Can’t wait to experience university properly. Haven’t stepped foot on campus yet 
